cubes,positions,colors,moves
3,"[(2, 0), (3, 0), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 0), (4, 0), (4, 2), (4, 3)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 3), (4, 5), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(5, 0), (5, 2), (5, 3), (6, 0), (6, 2), (6, 3)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 3), (6, 4), (6, 6), (7, 3), (7, 4), (7, 6), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 2), (7, 4), (7, 6), (7, 7), (8, 2), (8, 4), (8, 6), (8, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
9,"[(8, 2), (8, 3), (8, 5), (8, 7), (9, 2), (9, 3), (9, 5), (9, 7), (9, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 1), (9, 4), (9, 5), (9, 7), (10, 1), (10, 2), (10, 4), (10, 5), (10, 7), (10, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 3), (10, 5), (10, 6), (10, 8), (10, 10), (11, 2), (11, 3), (11, 5), (11, 6), (11, 8), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 0), (11, 2), (11, 4), (11, 6), (11, 8), (11, 10), (12, 0), (12, 2), (12, 4), (12, 6), (12, 8), (12, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(8, 2), (9, 2), (10, 2), (10, 3), (11, 2), (11, 3)]","['red', 'red', 'blue', 'blue', 'red', 'blue']",2
7,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 1), (11, 3)]","['red', 'blue', 'blue', 'red', 'red', 'red', 'blue']",2
8,"[(7, 3), (8, 3), (9, 3), (10, 3), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'blue']",3
9,"[(7, 3), (8, 3), (9, 3), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'red', 'red', 'red', 'blue', 'blue', 'red']",3
10,"[(6, 3), (7, 3), (8, 2), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3)]","['blue', 'blue', 'blue', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue']",1
11,"[(7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'red', 'red']",4
12,"[(7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",5
9,"[(7, 3), (8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'red', 'gray', 'gray', 'gray', 'blue', 'blue', 'red']",3
10,"[(7, 4), (8, 4), (9, 4), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4), (11, 5)]","['gray', 'red', 'blue', 'red', 'blue', 'gray', 'red', 'blue', 'red', 'gray']",3
11,"[(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (11, 1), (11, 3)]","['blue', 'red', 'blue', 'red', 'gray', 'blue', 'gray', 'blue', 'gray', 'red', 'blue']",4
12,"[(8, 3), (8, 4), (9, 2), (9, 3), (9, 4), (10, 2), (10, 3), (10, 4), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'gray', 'red', 'gray', 'blue', 'gray', 'red', 'gray', 'gray', 'red', 'gray']",4
