nb_blocks,colors,positions,nb_moves
3,['blue'],"{(8, 5): <Color: blue>, (9, 4): <Color: blue>, (9, 5): <Color: blue>}",1
4,['blue'],"{(8, 3): <Color: blue>, (8, 5): <Color: blue>, (9, 3): <Color: blue>, (9, 5): <Color: blue>}",2
5,['blue'],"{(8, 5): <Color: blue>, (8, 7): <Color: blue>, (9, 5): <Color: blue>, (9, 7): <Color: blue>, (9, 8): <Color: blue>}",2
6,['blue'],"{(8, 4): <Color: blue>, (8, 5): <Color: blue>, (9, 0): <Color: blue>, (9, 2): <Color: blue>, (9, 4): <Color: blue>, (9, 5): <Color: blue>}",3
7,['blue'],"{(8, 3): <Color: blue>, (8, 5): <Color: blue>, (8, 7): <Color: blue>, (9, 3): <Color: blue>, (9, 5): <Color: blue>, (9, 7): <Color: blue>, (9, 9): <Color: blue>}",3
8,['blue'],"{(8, 1): <Color: blue>, (8, 3): <Color: blue>, (8, 5): <Color: blue>, (8, 6): <Color: blue>, (9, 1): <Color: blue>, (9, 3): <Color: blue>, (9, 5): <Color: blue>, (9, 6): <Color: blue>}",4
9,['blue'],"{(8, 2): <Color: blue>, (8, 4): <Color: blue>, (8, 5): <Color: blue>, (9, 1): <Color: blue>, (9, 2): <Color: blue>, (9, 4): <Color: blue>, (9, 5): <Color: blue>, (9, 7): <Color: blue>, (9, 9): <Color: blue>}",3
10,['blue'],"{(8, 0): <Color: blue>, (8, 2): <Color: blue>, (8, 3): <Color: blue>, (8, 5): <Color: blue>, (9, 0): <Color: blue>, (9, 2): <Color: blue>, (9, 3): <Color: blue>, (9, 5): <Color: blue>, (9, 7): <Color: blue>, (9, 8): <Color: blue>}",3
6,"['blue', 'red']","{(6, 5): <Color: red>, (7, 5): <Color: red>, (8, 5): <Color: blue>, (8, 6): <Color: blue>, (9, 5): <Color: blue>, (9, 6): <Color: red>}",3
7,"['blue', 'red']","{(7, 5): <Color: blue>, (8, 3): <Color: red>, (8, 5): <Color: red>, (9, 3): <Color: blue>, (9, 4): <Color: blue>, (9, 5): <Color: red>, (9, 6): <Color: blue>}",5
8,"['blue', 'red']","{(2, 5): <Color: red>, (3, 5): <Color: blue>, (4, 5): <Color: red>, (5, 5): <Color: red>, (6, 5): <Color: blue>, (7, 5): <Color: red>, (8, 5): <Color: red>, (9, 5): <Color: blue>}",5
9,"['blue', 'red']","{(6, 5): <Color: red>, (7, 5): <Color: blue>, (8, 5): <Color: red>, (8, 6): <Color: blue>, (9, 2): <Color: red>, (9, 3): <Color: blue>, (9, 5): <Color: blue>, (9, 6): <Color: red>, (9, 7): <Color: blue>}",5
10,"['blue', 'red']","{(7, 3): <Color: blue>, (7, 5): <Color: blue>, (8, 3): <Color: red>, (8, 4): <Color: blue>, (8, 5): <Color: blue>, (9, 3): <Color: blue>, (9, 4): <Color: blue>, (9, 5): <Color: red>, (9, 6): <Color: red>, (9, 7): <Color: blue>}",4
9,"['blue', 'red', 'gray']","{(7, 5): <Color: blue>, (7, 6): <Color: gray>, (8, 5): <Color: gray>, (8, 6): <Color: red>, (9, 4): <Color: blue>, (9, 5): <Color: gray>, (9, 6): <Color: red>, (9, 7): <Color: blue>, (9, 8): <Color: red>}",3
10,"['blue', 'red', 'gray']","{(3, 5): <Color: blue>, (4, 5): <Color: red>, (5, 5): <Color: gray>, (6, 5): <Color: red>, (7, 5): <Color: blue>, (8, 5): <Color: gray>, (8, 7): <Color: gray>, (9, 5): <Color: gray>, (9, 6): <Color: red>, (9, 7): <Color: blue>}",5
